freq,areaprot,unit,geo\TIME_PERIOD	2012 	2016 	2019 	2021 
A,MPA,KM2,AT	: z	: z	: z	: z
A,MPA,KM2,BE	1273 	1274 	1274 	1322 
A,MPA,KM2,BG	995 	2834 	2834 	2856 
A,MPA,KM2,CY	131 	131 	8463 	8463 
A,MPA,KM2,CZ	: z	: z	: z	: z
A,MPA,KM2,DE	25641 	25684 	25688 	25637 
A,MPA,KM2,DK	19087 	19122 	19675 	19681 
A,MPA,KM2,EE	6759 	6757 	6813 	6813 
A,MPA,KM2,EL	7414 	7430 	22550 	22746 
A,MPA,KM2,ES	11489 	84387 	128476 	132818 
A,MPA,KM2,EU27_2020	216972 	386069 	552008 	612094 
A,MPA,KM2,FI	8153 	8240 	9052 	9058 
A,MPA,KM2,FR	47110 	55621 	139724 	168367 
A,MPA,KM2,HR	666 	5025 	5279 	5278 
A,MPA,KM2,HU	: z	: z	: z	: z
A,MPA,KM2,IE	6816 	10264 	10257 	10261 
A,MPA,KM2,IT	30367 	30487 	31987 	56771 
A,MPA,KM2,LT	674 	1555 	1554 	1551 
A,MPA,KM2,LU	: z	: z	: z	: z
A,MPA,KM2,LV	4383 	4470 	4469 	4470 
A,MPA,KM2,MT	193 	3489 	4142 	4142 
A,MPA,KM2,NL	11829 	15085 	15082 	16451 
A,MPA,KM2,PL	7235 	7238 	7238 	7247 
A,MPA,KM2,PT	14196 	66445 	77006 	76960 
A,MPA,KM2,RO	1888 	6322 	6358 	6354 
A,MPA,KM2,SE	10442 	23802 	24076 	24837 
A,MPA,KM2,SI	230 	408 	11 	11 
A,MPA,KM2,SK	: z	: z	: z	: z
A,MPA,PC,AT	: z	: z	: z	: z
A,MPA,PC,BE	36.8 	36.8 	36.8 	37.8 
A,MPA,PC,BG	2.8 	8.1 	8.1 	8.0 
A,MPA,PC,CY	0.1 	0.1 	8.6 	8.6 
A,MPA,PC,CZ	: z	: z	: z	: z
A,MPA,PC,DE	45.8 	45.9 	45.9 	45.4 
A,MPA,PC,DK	18.1 	18.2 	18.7 	18.7 
A,MPA,PC,EE	18.5 	18.5 	18.6 	18.7 
A,MPA,PC,EL	6.5 	6.5 	19.7 	19.8 
A,MPA,PC,ES	1.1 	7.9 	12.0 	12.4 
A,MPA,PC,EU27_2020	4.2 	7.4 	10.9 	12.1 
A,MPA,PC,FI	9.9 	10.0 	11.0 	11.0 
A,MPA,PC,FR	12.7 	15.0 	37.7 	45.4 
A,MPA,PC,HR	1.2 	9.1 	9.5 	9.5 
A,MPA,PC,HU	: z	: z	: z	: z
A,MPA,PC,IE	1.5 	2.3 	2.3 	2.3 
A,MPA,PC,IT	5.2 	5.2 	5.4 	9.7 
A,MPA,PC,LT	10.5 	24.1 	24.1 	22.8 
A,MPA,PC,LU	: z	: z	: z	: z
A,MPA,PC,LV	15.5 	15.8 	15.8 	15.8 
A,MPA,PC,MT	0.3 	4.6 	5.5 	5.5 
A,MPA,PC,NL	20.1 	25.6 	25.6 	26.1 
A,MPA,PC,PL	21.8 	21.8 	21.8 	21.9 
A,MPA,PC,PT	0.8 	3.8 	4.5 	4.5 
A,MPA,PC,RO	6.4 	21.4 	21.5 	21.4 
A,MPA,PC,SE	6.7 	15.3 	15.3 	16.0 
A,MPA,PC,SI	28.6 	50.6 	5.2 	5.0 
A,MPA,PC,SK	: z	: z	: z	: z
