freq,indic_env,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MA_ETR,KM2,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,KM2,BE	0 	838 	1055 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,BG	21 	9105 	14 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,CY	108 	49 	0 	0 	0 	0 	0 	0 	0 	0 	0 	30 	10 	10 	10 	10 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,KM2,DE	130 	300 	119 	0 	0 	0 	0 	0 	0 	0 	6 	85 	23 	362 	28 	130 	0 	40 	136 	23 	45 	17 	51 	232 
A,MA_ETR,KM2,DK	5552 	759 	2602 	21 	0 	0 	95 	10957 	3645 	137 	0 	9904 	0 	263 	11 	1349 	116 	53 	11 	0 	11 	780 	0 	221 
A,MA_ETR,KM2,EE	88 	69 	7 	0 	0 	0 	0 	0 	0 	0 	62 	18 	55 	47 	7 	7 	4 	4 	1427 	7 	4 	0 	4 	18 
A,MA_ETR,KM2,EL	773 	628 	290 	387 	0 	0 	48 	48 	0 	97 	145 	145 	0 	48 	97 	97 	0 	0 	0 	0 	0 	10004 	0 	0 
A,MA_ETR,KM2,ES	4846 	4543 	2726 	0 	101 	4342 	707 	30694 	606 	606 	6866 	0 	2423 	606 	101 	19789 	1615 	0 	13227 	5856 	1414 	7270 	15145 	0 
A,MA_ETR,KM2,EU_V	21056 	129064 	271598 	58559 	2533 	21119 	2440 	65783 	62184 	5496 	11472 	12370 	11174 	3315 	5747 	34410 	5751 	912 	20235 	10647 	5131 	25003 	29323 	2632 
A,MA_ETR,KM2,FI	255 	1077 	58 	0 	8 	0 	0 	0 	0 	0 	0 	8 	304 	378 	82 	189 	123 	16 	362 	140 	206 	510 	370 	247 
A,MA_ETR,KM2,FR	4434 	9387 	658 	4364 	2355 	0 	35 	22827 	8556 	450 	727 	104 	0 	727 	35 	242 	0 	0 	866 	485 	1663 	104 	312 	0 
A,MA_ETR,KM2,HR	61 	144 	94 	0 	0 	0 	0 	0 	6 	17 	206 	106 	6 	44 	28 	17 	6 	11 	0 	17 	11 	6 	6 	44 
A,MA_ETR,KM2,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,KM2,IE	769 	0 	85 	0 	0 	0 	0 	0 	0 	214 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	85 	43 
A,MA_ETR,KM2,IT	376 	590 	107 	0 	0 	0 	0 	0 	0 	0 	54 	54 	0 	161 	215 	161 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,LT	7 	4 	0 	0 	0 	10 	0 	0 	1168 	0 	0 	0 	0 	11 	4 	0 	0 	4 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,KM2,LV	11 	31 	3 	0 	0 	0 	0 	0 	6339 	0 	0 	0 	0 	6 	0 	11 	0 	0 	31 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,MT	5 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,NL	0 	4846 	1861 	25 	68 	0 	0 	738 	43 	0 	81 	0 	6 	205 	0 	0 	0 	0 	552 	0 	37 	1570 	0 	0 
A,MA_ETR,KM2,PL	63 	39 	6 	0 	0 	0 	0 	0 	13906 	0 	3 	0 	3 	39 	9 	3 	6 	15 	27 	3 	0 	0 	0 	6 
A,MA_ETR,KM2,PT	1902 	92831 	261896 	53762 	0 	16768 	1556 	519 	173 	3976 	3285 	1902 	8298 	173 	5013 	12274 	3803 	691 	3285 	3976 	1383 	4495 	12274 	1556 
A,MA_ETR,KM2,RO	33 	2164 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	9 	6 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,SE	1623 	1638 	16 	0 	0 	0 	0 	0 	27742 	0 	16 	16 	47 	234 	94 	125 	78 	78 	312 	140 	359 	250 	1077 	265 
A,MA_ETR,KM2,SI	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MA_ETR,KM2,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,PC,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,PC,BE	0.00 	24.04 	30.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.58 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,BG	0.06 	26.22 	0.04 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.00 	0.00 	0.00 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,CY	0.11 	0.05 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.03 	0.01 	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,PC,DE	0.23 	0.53 	0.21 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.15 	0.04 	0.64 	0.05 	0.23 	0.00 	0.07 	0.24 	0.04 	0.08 	0.03 	0.09 	0.41 
A,MA_ETR,PC,DK	5.27 	0.72 	2.47 	0.02 	0.00 	0.00 	0.09 	10.40 	3.46 	0.13 	0.00 	9.40 	0.00 	0.25 	0.01 	1.28 	0.11 	0.05 	0.01 	0.00 	0.01 	0.74 	0.00 	0.21 
A,MA_ETR,PC,EE	0.24 	0.19 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.17 	0.05 	0.15 	0.13 	0.02 	0.02 	0.01 	0.01 	3.91 	0.02 	0.01 	0.00 	0.01 	0.05 
A,MA_ETR,PC,EL	0.16 	0.13 	0.06 	0.08 	0.00 	0.00 	0.01 	0.01 	0.00 	0.02 	0.03 	0.03 	0.00 	0.01 	0.02 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	2.07 	0.00 	0.00 
A,MA_ETR,PC,ES	0.48 	0.45 	0.27 	0.00 	0.01 	0.43 	0.07 	3.04 	0.06 	0.06 	0.68 	0.00 	0.24 	0.06 	0.01 	1.96 	0.16 	0.00 	1.31 	0.58 	0.14 	0.72 	1.50 	0.00 
A,MA_ETR,PC,EU_V	0.39 	2.40 	5.06 	1.09 	0.05 	0.39 	0.05 	1.22 	1.16 	0.10 	0.21 	0.23 	0.21 	0.06 	0.11 	0.64 	0.11 	0.02 	0.38 	0.20 	0.10 	0.47 	0.55 	0.05 
A,MA_ETR,PC,FI	0.31 	1.31 	0.07 	0.00 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.37 	0.46 	0.10 	0.23 	0.15 	0.02 	0.44 	0.17 	0.25 	0.62 	0.45 	0.30 
A,MA_ETR,PC,FR	1.28 	2.71 	0.19 	1.26 	0.68 	0.00 	0.01 	6.59 	2.47 	0.13 	0.21 	0.03 	0.00 	0.21 	0.01 	0.07 	0.00 	0.00 	0.25 	0.14 	0.48 	0.03 	0.09 	0.00 
A,MA_ETR,PC,HR	0.11 	0.26 	0.17 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.03 	0.37 	0.19 	0.01 	0.08 	0.05 	0.03 	0.01 	0.02 	0.00 	0.03 	0.02 	0.01 	0.01 	0.08 
A,MA_ETR,PC,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,PC,IE	0.18 	0.00 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.05 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.02 	0.01 
A,MA_ETR,PC,IT	0.07 	0.11 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.01 	0.00 	0.03 	0.04 	0.03 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,LT	0.10 	0.06 	0.00 	0.00 	0.00 	0.14 	0.00 	0.00 	17.11 	0.00 	0.00 	0.00 	0.00 	0.16 	0.06 	0.00 	0.00 	0.06 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MA_ETR,PC,LV	0.04 	0.11 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	22.39 	0.00 	0.00 	0.00 	0.00 	0.02 	0.00 	0.04 	0.00 	0.00 	0.11 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,MT	0.01 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,NL	0.00 	7.81 	3.00 	0.04 	0.11 	0.00 	0.00 	1.19 	0.07 	0.00 	0.13 	0.00 	0.01 	0.33 	0.00 	0.00 	0.00 	0.00 	0.89 	0.00 	0.06 	2.53 	0.00 	0.00 
A,MA_ETR,PC,PL	0.21 	0.13 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	46.70 	0.00 	0.01 	0.00 	0.01 	0.13 	0.03 	0.01 	0.02 	0.05 	0.09 	0.01 	0.00 	0.00 	0.00 	0.02 
A,MA_ETR,PC,PT	0.11 	5.37 	15.15 	3.11 	0.00 	0.97 	0.09 	0.03 	0.01 	0.23 	0.19 	0.11 	0.48 	0.01 	0.29 	0.71 	0.22 	0.04 	0.19 	0.23 	0.08 	0.26 	0.71 	0.09 
A,MA_ETR,PC,RO	0.11 	7.31 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.03 	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,SE	1.04 	1.05 	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	17.78 	0.00 	0.01 	0.01 	0.03 	0.15 	0.06 	0.08 	0.05 	0.05 	0.20 	0.09 	0.23 	0.16 	0.69 	0.17 
A,MA_ETR,PC,SI	0.00 	6.91 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.06 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MA_ETR,PC,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
