freq,areaprot,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,TPA,KM2,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24510 
A,TPA,KM2,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4505 
A,TPA,KM2,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45460 
A,TPA,KM2,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3491 
A,TPA,KM2,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17259 
A,TPA,KM2,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133708 
A,TPA,KM2,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6435 
A,TPA,KM2,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9481 
A,TPA,KM2,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46063 
A,TPA,KM2,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141623 
A,TPA,KM2,EU27_2020	1003558 	1020306 	1027027 	1032320 	1037902 	1042645 	1054661 	1064348 	1073237 	1076628 	1075959 
A,TPA,KM2,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44777 
A,TPA,KM2,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	153906 
A,TPA,KM2,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21523 
A,TPA,KM2,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20688 
A,TPA,KM2,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9711 
A,TPA,KM2,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64429 
A,TPA,KM2,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11130 
A,TPA,KM2,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1448 
A,TPA,KM2,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11725 
A,TPA,KM2,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92 
A,TPA,KM2,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9915 
A,TPA,KM2,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123545 
A,TPA,KM2,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20547 
A,TPA,KM2,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55890 
A,TPA,KM2,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67521 
A,TPA,KM2,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8210 
A,TPA,KM2,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18351 
A,TPA,PC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.2 
A,TPA,PC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.7 
A,TPA,PC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.0 
A,TPA,PC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.7 
A,TPA,PC,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.9 
A,TPA,PC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.4 
A,TPA,PC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.9 
A,TPA,PC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.9 
A,TPA,PC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.9 
A,TPA,PC,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.0 
A,TPA,PC,EU27_2020	24.3 	24.7 	24.8 	25.0 	25.1 	25.2 	25.5 	25.7 	26.0 	26.0 	26.0 
A,TPA,PC,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3 
A,TPA,PC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.0 
A,TPA,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.1 
A,TPA,PC,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.2 
A,TPA,PC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.9 
A,TPA,PC,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.4 
A,TPA,PC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.1 
A,TPA,PC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.8 
A,TPA,PC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.2 
A,TPA,PC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.0 
A,TPA,PC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.5 
A,TPA,PC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.6 
A,TPA,PC,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.4 
A,TPA,PC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.4 
A,TPA,PC,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.0 
A,TPA,PC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.4 
A,TPA,PC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.4 
