freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM2,AL	1625 	205 	11 	2890 	0 	0 	0 	1445 	256 	1 	0 	219 	703 	0 	0 	647 	9 	4104 	35 	273 	643 	1465 	4290 
A,KM2,AT	4332 	6075 	2817 	23954 	1405 	450 	605 	2328 	27 	70 	1068 	1744 	2297 	6 	25 	5953 	138 	2076 	6694 	2449 	351 	929 	7458 
A,KM2,BA	18633 	3 	150 	17408 	0 	0 	0 	149 	0 	24 	0 	554 	6692 	947 	1 	447 	0 	2137 	7 	27 	856 	2000 	24121 
A,KM2,BE	0 	0 	0 	301 	0 	0 	0 	0 	0 	0 	0 	4105 	0 	109 	12 	0 	0 	3082 	5364 	2195 	14041 	1 	16248 
A,KM2,BG	50059 	39792 	2282 	4320 	106 	2 	0 	11663 	372 	2490 	3 	255 	1355 	147 	34 	20 	18 	1650 	13 	123 	9008 	275 	5183 
A,KM2,CH	0 	3 	6 	2213 	33 	95 	334 	12 	1 	644 	538 	2706 	458 	95 	26 	1107 	121 	2150 	5954 	2717 	3063 	405 	5860 
A,KM2,CY	47 	0 	0 	0 	0 	0 	165 	11 	4333 	0 	0 	37 	0 	1 	5023 	0 	4454 	749 	1203 	0 	5 	568 	197 
A,KM2,CZ	5728 	943 	888 	15382 	2414 	6 	47 	3425 	27 	19 	6 	51 	4612 	0 	215 	6086 	10 	3377 	20371 	8240 	1902 	31 	5571 
A,KM2,DE	153 	48 	0 	61964 	2301 	57 	279 	168 	9 	173 	4 	14220 	3456 	2 	1089 	9538 	482 	2259 	86918 	67919 	66100 	354 	66991 
A,KM2,DK	12 	0 	0 	24 	136 	64 	94 	0 	340 	414 	13 	59 	31 	488 	52 	0 	2 	7 	18426 	439 	194 	12 	6439 
A,KM2,EE	43 	0 	4415 	1710 	0 	0 	30856 	0 	0 	0 	0 	1 	0 	3 	11 	170 	233 	226 	13469 	3214 	2 	646 	3079 
A,KM2,EL	27986 	13141 	149 	42 	24 	15 	1 	12251 	6234 	435 	1350 	104 	5497 	920 	289 	27 	9636 	3451 	3374 	424 	1605 	5107 	5790 
A,KM2,ES	13095 	5412 	12430 	4816 	24 	139565 	9570 	990 	4076 	38610 	975 	8908 	150313 	101 	16647 	8498 	21797 	28849 	1940 	28017 	148 	2367 	46481 
A,KM2,EU27_2020	165343 	81008 	106590 	420001 	21259 	224611 	129562 	79374 	34472 	74999 	25353 	123474 	396596 	10001 	35811 	127843 	70799 	162724 	293169 	325618 	241058 	56370 	631220 
A,KM2,FI	0 	0 	5720 	21904 	173 	26 	34687 	199 	0 	1449 	1108 	5027 	45 	513 	3443 	1244 	718 	2503 	23703 	20169 	12039 	12358 	9803 
A,KM2,FR	26 	279 	5087 	107990 	2083 	20358 	1413 	2438 	3307 	2228 	8753 	70682 	12960 	8 	1229 	1324 	3514 	28016 	2040 	62266 	58017 	1321 	229592 
A,KM2,HR	6651 	1 	53 	20624 	0 	0 	0 	282 	2 	179 	0 	5300 	20017 	1 	6 	634 	2 	5680 	49 	72 	1487 	507 	15651 
A,KM2,HU	2860 	393 	3279 	16764 	0 	0 	0 	5394 	0 	422 	0 	434 	40308 	0 	418 	3304 	0 	2100 	0 	1021 	345 	1217 	19962 
A,KM2,IE	0 	0 	0 	690 	16 	0 	165 	0 	1 	3 	31 	3 	2 	978 	231 	2 	0 	24 	1052 	25 	61 	141 	3638 
A,KM2,IS	857 	3 	43 	0 	3 	65 	9 	39 	18 	36 	3 	71 	142 	253 	151 	918 	75 	537 	2202 	3701 	299 	8687 	1748 
A,KM2,IT	11532 	10979 	24908 	14944 	504 	1436 	4204 	19679 	10568 	1771 	1095 	5717 	29948 	703 	670 	2707 	6286 	48356 	2643 	2366 	4732 	7590 	52265 
A,KM2,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	5 	1 	15 	47 	5 	15 	0 	4 
A,KM2,LT	8 	0 	18618 	3650 	0 	14 	5580 	0 	1432 	1198 	254 	0 	25 	0 	2 	1304 	69 	5 	11963 	32239 	2814 	267 	19 
A,KM2,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1105 	0 	0 	0 	0 	0 	342 	568 	764 	1913 	0 	1855 
A,KM2,LV	360 	0 	8904 	8092 	7 	0 	15296 	0 	241 	2518 	5010 	9 	34 	161 	522 	228 	539 	135 	5043 	12641 	1171 	1632 	869 
A,KM2,ME	1719 	0 	0 	874 	0 	0 	0 	0 	0 	0 	0 	405 	4054 	4 	0 	274 	0 	1090 	8 	36 	164 	575 	3446 
A,KM2,MK	1089 	3519 	0 	3 	0 	0 	0 	328 	0 	0 	0 	1 	484 	3 	0 	0 	0 	1930 	1 	34 	11 	26 	729 
A,KM2,MT	0 	0 	21 	0 	0 	0 	0 	0 	0 	0 	148 	0 	0 	78 	0 	0 	230 	0 	49 	0 	2 	3 	3 
A,KM2,NL	0 	0 	0 	73 	1 	0 	0 	0 	0 	1 	0 	1 	0 	0 	9 	0 	9 	15 	11964 	2038 	6410 	0 	5037 
A,KM2,NO	4 	57 	3027 	4445 	125 	46 	595 	2 	2153 	439 	1253 	1741 	730 	2667 	12109 	4197 	2092 	848 	13898 	4767 	4668 	16250 	7515 
A,KM2,PL	7344 	28 	6797 	48901 	8068 	4778 	18263 	759 	43 	49 	31 	1 	25342 	835 	641 	65308 	13162 	3776 	24115 	53992 	11442 	4679 	27173 
A,KM2,PT	0 	1 	3420 	0 	4 	57069 	38 	0 	277 	14073 	5 	2483 	34331 	38 	66 	3839 	0 	2029 	21 	3560 	24 	3 	31267 
A,KM2,RO	32962 	3849 	5056 	36254 	1228 	0 	0 	18561 	1065 	3019 	0 	514 	48038 	3107 	1552 	5021 	719 	3520 	121 	952 	32200 	300 	34462 
A,KM2,RS	32691 	2962 	237 	4738 	0 	0 	0 	3671 	0 	46 	0 	481 	14525 	1583 	8 	419 	0 	2752 	11 	52 	456 	1333 	12015 
A,KM2,SE	0 	65 	1286 	10293 	2739 	769 	8286 	567 	2120 	5854 	5493 	1486 	76 	913 	3148 	7764 	8208 	14492 	50914 	19878 	14769 	15533 	15516 
A,KM2,SI	1572 	1 	124 	8502 	1 	1 	2 	74 	0 	6 	6 	1211 	3783 	16 	0 	114 	50 	2189 	52 	116 	231 	409 	10574 
A,KM2,SK	576 	0 	338 	8806 	23 	0 	13 	585 	0 	17 	0 	16 	14123 	873 	476 	4758 	525 	3816 	1100 	499 	44 	119 	10100 
A,KM2,TR	25903 	56615 	9 	14298 	3350 	929 	7993 	109831 	106247 	1651 	5925 	96 	1536 	6851 	46583 	135 	20321 	49446 	6723 	12486 	24308 	149783 	64719 
A,KM2,XK	1287 	403 	2 	155 	0 	0 	0 	0 	0 	0 	0 	47 	1146 	2 	0 	18 	0 	8 	0 	662 	297 	775 	1210 
A,PC,AL	5.8 	0.7 	0.0 	10.4 	0.0 	0.0 	0.0 	5.2 	0.9 	0.0 	0.0 	0.8 	2.5 	0.0 	0.0 	2.3 	0.0 	14.7 	0.1 	1.0 	2.3 	5.3 	15.4 
A,PC,AT	5.2 	7.3 	3.4 	28.9 	1.7 	0.5 	0.7 	2.8 	0.0 	0.1 	1.3 	2.1 	2.8 	0.0 	0.0 	7.2 	0.2 	2.5 	8.1 	3.0 	0.4 	1.1 	9.0 
A,PC,BA	36.7 	0.0 	0.3 	34.3 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	1.1 	13.2 	1.9 	0.0 	0.9 	0.0 	4.2 	0.0 	0.1 	1.7 	3.9 	47.5 
A,PC,BE	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	13.5 	0.0 	0.4 	0.0 	0.0 	0.0 	10.1 	17.6 	7.2 	46.1 	0.0 	53.4 
A,PC,BG	45.5 	36.2 	2.1 	3.9 	0.1 	0.0 	0.0 	10.6 	0.3 	2.3 	0.0 	0.2 	1.2 	0.1 	0.0 	0.0 	0.0 	1.5 	0.0 	0.1 	8.2 	0.2 	4.7 
A,PC,CH	0.0 	0.0 	0.0 	5.7 	0.1 	0.2 	0.9 	0.0 	0.0 	1.7 	1.4 	7.0 	1.2 	0.2 	0.1 	2.8 	0.3 	5.5 	15.3 	7.0 	7.9 	1.0 	15.1 
A,PC,CY	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	1.8 	0.1 	47.2 	0.0 	0.0 	0.4 	0.0 	0.0 	54.8 	0.0 	48.6 	8.2 	13.1 	0.0 	0.1 	6.2 	2.1 
A,PC,CZ	7.3 	1.2 	1.1 	19.6 	3.1 	0.0 	0.1 	4.4 	0.0 	0.0 	0.0 	0.1 	5.9 	0.0 	0.3 	7.8 	0.0 	4.3 	26.0 	10.5 	2.4 	0.0 	7.1 
A,PC,DE	0.0 	0.0 	0.0 	17.6 	0.7 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	4.0 	1.0 	0.0 	0.3 	2.7 	0.1 	0.6 	24.6 	19.2 	18.7 	0.1 	19.0 
A,PC,DK	0.0 	0.0 	0.0 	0.1 	0.3 	0.2 	0.2 	0.0 	0.8 	1.0 	0.0 	0.1 	0.1 	1.2 	0.1 	0.0 	0.0 	0.0 	43.6 	1.0 	0.5 	0.0 	15.2 
A,PC,EE	0.1 	0.0 	10.2 	4.0 	0.0 	0.0 	71.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.5 	0.5 	31.2 	7.4 	0.0 	1.5 	7.1 
A,PC,EL	21.6 	10.2 	0.1 	0.0 	0.0 	0.0 	0.0 	9.5 	4.8 	0.3 	1.0 	0.1 	4.2 	0.7 	0.2 	0.0 	7.4 	2.7 	2.6 	0.3 	1.2 	3.9 	4.5 
A,PC,ES	2.6 	1.1 	2.5 	1.0 	0.0 	27.9 	1.9 	0.2 	0.8 	7.7 	0.2 	1.8 	30.0 	0.0 	3.3 	1.7 	4.4 	5.8 	0.4 	5.6 	0.0 	0.5 	9.3 
A,PC,EU27_2020	4.1 	2.0 	2.7 	10.5 	0.5 	5.6 	3.2 	2.0 	0.9 	1.9 	0.6 	3.1 	9.9 	0.2 	0.9 	3.2 	1.8 	4.1 	7.3 	8.1 	6.0 	1.4 	15.7 
A,PC,FI	0.0 	0.0 	1.9 	7.2 	0.1 	0.0 	11.4 	0.1 	0.0 	0.5 	0.4 	1.6 	0.0 	0.2 	1.1 	0.4 	0.2 	0.8 	7.8 	6.6 	3.9 	4.0 	3.2 
A,PC,FR	0.0 	0.1 	0.9 	19.9 	0.4 	3.7 	0.3 	0.4 	0.6 	0.4 	1.6 	13.0 	2.4 	0.0 	0.2 	0.2 	0.6 	5.2 	0.4 	11.5 	10.7 	0.2 	42.3 
A,PC,HR	11.9 	0.0 	0.1 	37.0 	0.0 	0.0 	0.0 	0.5 	0.0 	0.3 	0.0 	9.5 	35.9 	0.0 	0.0 	1.1 	0.0 	10.2 	0.1 	0.1 	2.7 	0.9 	28.0 
A,PC,HU	3.1 	0.4 	3.6 	18.4 	0.0 	0.0 	0.0 	5.9 	0.0 	0.5 	0.0 	0.5 	44.2 	0.0 	0.5 	3.6 	0.0 	2.3 	0.0 	1.1 	0.4 	1.3 	21.9 
A,PC,IE	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.4 	0.3 	0.0 	0.0 	0.0 	1.5 	0.0 	0.1 	0.2 	5.3 
A,PC,IS	1.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.3 	0.2 	1.0 	0.1 	0.6 	2.4 	4.1 	0.3 	9.7 	1.9 
A,PC,IT	3.9 	3.7 	8.4 	5.0 	0.2 	0.5 	1.4 	6.6 	3.6 	0.6 	0.4 	1.9 	10.1 	0.2 	0.2 	0.9 	2.1 	16.3 	0.9 	0.8 	1.6 	2.6 	17.6 
A,PC,LI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	0.2 	0.0 	0.0 	2.9 	0.6 	9.2 	29.5 	3.3 	9.5 	0.0 	2.6 
