freq,sex,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,F,PER_VICT,P_HTHAB,AT	0.77 	2.29 	1.35 	1.47 	2.13 	1.48 	1.20 	5.15 	5.47 	7.33 	7.69 	7.49 	7.03 	7.39 	8.43 
A,F,PER_VICT,P_HTHAB,BE	: 	: 	1.05 	1.18 	1.30 	0.85 	0.95 	0.95 	1.05 	1.37 	0.88 	1.36 	0.69 	0.82 	0.75 
A,F,PER_VICT,P_HTHAB,BG	6.22 	8.27 	14.10 	11.85 	13.46 	12.73 	12.42 	10.30 	11.12 	0.52 	0.22 	0.78 	1.42 	0.95 	0.91 
A,F,PER_VICT,P_HTHAB,CY	14.15 	6.63 	11.20 	8.12 	5.87 	24.50 	18.62 	5.29 	9.18 	23.28 	27.11 	7.81 	2.43 	2.62 	2.59 
A,F,PER_VICT,P_HTHAB,CZ	0.30 	0.17 	0.26 	0.36 	0.34 	0.62 	0.60 	0.08 	0.13 	: 	: 	0.33 	0.26 	0.18 	0.24 
A,F,PER_VICT,P_HTHAB,DE	1.46 	1.49 	1.43 	1.52 	1.45 	1.29 	1.31 	0.98 	1.15 	1.38 	1.16 	1.19 	1.20 	1.49 	1.98 
A,F,PER_VICT,P_HTHAB,DK	1.01 	1.66 	1.79 	2.07 	1.99 	2.27 	2.22 	1.79 	3.97 	2.98 	1.21 	1.41 	1.88 	1.43 	1.63 
A,F,PER_VICT,P_HTHAB,EE	: 	: 	: 	2.39 	1.13 	1.99 	0.14 	1.29 	1.00 	1.29 	1.43 	1.43 	0.57 	3.29 	7.30 
A,F,PER_VICT,P_HTHAB,EL	1.09 	1.54 	1.17 	0.99 	1.34 	0.89 	1.19 	1.70 	2.48 	2.15 	1.63 	2.18 	2.05 	2.03 	5.44 
A,F,PER_VICT,P_HTHAB,ES	: 	1.81 	6.26 	0.92 	0.52 	1.11 	0.62 	0.70 	0.70 	0.61 	0.64 	1.56 	0.92 	0.68 	0.60 
A,F,PER_VICT,P_HTHAB,EU_V	2.75 	2.21 	3.08 	2.63 	3.20 	2.52 	2.40 	2.07 	2.33 	2.68 	2.46 	2.35 	2.01 	2.00 	2.66 
A,F,PER_VICT,P_HTHAB,FI	0.41 	0.92 	1.47 	1.72 	1.35 	1.34 	1.26 	1.33 	3.09 	1.90 	1.90 	2.04 	2.32 	3.11 	3.78 
A,F,PER_VICT,P_HTHAB,FR	2.46 	2.18 	2.11 	1.91 	2.20 	2.52 	2.00 	: 	3.36 	2.91 	3.26 	2.84 	2.62 	3.77 	3.88 
A,F,PER_VICT,P_HTHAB,HR	0.13 	0.22 	0.27 	0.59 	0.32 	0.95 	1.32 	1.74 	0.97 	0.61 	1.32 	0.90 	0.34 	0.43 	1.25 
A,F,PER_VICT,P_HTHAB,HU	0.17 	0.17 	0.95 	2.42 	1.02 	2.33 	4.74 	8.70 	8.42 	6.97 	9.36 	0.94 	1.81 	2.65 	3.05 
A,F,PER_VICT,P_HTHAB,IE	: 	2.51 	2.67 	2.09 	1.34 	1.42 	1.32 	1.73 	1.63 	2.86 	1.89 	1.54 	1.32 	1.11 	1.06 
A,F,PER_VICT,P_HTHAB,IT	4.59 	: 	: 	3.85 	6.10 	: 	: 	2.11 	2.39 	2.92 	2.68 	2.04 	1.54 	1.32 	4.50 
A,F,PER_VICT,P_HTHAB,LT	1.45 	0.82 	0.89 	1.34 	0.68 	1.50 	1.32 	2.29 	1.28 	1.69 	2.25 	1.20 	1.07 	0.68 	0.67 
A,F,PER_VICT,P_HTHAB,LU	2.87 	1.21 	3.96 	4.67 	2.28 	2.98 	1.09 	2.49 	5.23 	3.06 	3.34 	2.62 	0.64 	3.17 	17.79 
A,F,PER_VICT,P_HTHAB,LV	1.86 	1.28 	1.83 	1.60 	3.15 	2.01 	2.40 	0.93 	1.41 	1.61 	1.05 	1.55 	1.36 	1.18 	1.89 
A,F,PER_VICT,P_HTHAB,MT	0.49 	0.00 	0.00 	0.96 	3.81 	5.19 	6.98 	1.83 	7.14 	2.19 	8.93 	2.48 	4.82 	1.61 	7.57 
A,F,PER_VICT,P_HTHAB,NL	9.39 	9.24 	10.50 	11.69 	17.86 	14.90 	14.99 	10.28 	8.48 	8.02 	4.84 	7.90 	6.25 	5.80 	5.65 
A,F,PER_VICT,P_HTHAB,PL	: 	: 	: 	: 	: 	0.82 	0.73 	0.34 	0.23 	: 	: 	: 	: 	0.00 	: 
A,F,PER_VICT,P_HTHAB,PT	0.24 	0.22 	0.04 	0.09 	0.04 	1.33 	1.74 	0.97 	1.01 	1.12 	0.79 	1.31 	0.74 	0.97 	1.05 
