freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EXPCRED_OSUP,MEUR_KP21,AT	334 	-208 	388 	128 	-373 	-82 	-92 	2632 	1626 	-543 	-658 	-406 	-386 	-8 	22 	-28 	-73 	-74 	-126 	-61 	-143 	-146 	-106 
A,EXPCRED_OSUP,MEUR_KP21,BE	698 	224 	-692 	-2116 	-610 	-933 	-20 	182 	171 	127 	-236 	7 	301 	674 	160 	251 	-104 	-374 	-121 	76 	-71 	71 	-323 
A,EXPCRED_OSUP,MEUR_KP21,CH	845 	-240 	-205 	71 	289 	-881 	-620 	3 	-673 	-585 	22 	-223 	-165 	-29 	538 	-125 	185 	377 	1420 	248 	-125 	161 	530 
A,EXPCRED_OSUP,MEUR_KP21,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64 	58 	-41 	: 	-167 	: 	: 	: 	: 
A,EXPCRED_OSUP,MEUR_KP21,DE	1664 	568 	-744 	-1597 	205 	-3868 	-2967 	591 	1527 	849 	3415 	8922 	5803 	4762 	-139 	: 	3460 	6 	1260 	-1825 	-1105 	-1065 	-1235 
A,EXPCRED_OSUP,MEUR_KP21,DK	: 	: 	: 	: 	-17 	-23 	-113 	-108 	-68 	: 	-38 	0 	-1 	-1 	529 	366 	257 	715 	1577 	-257 	628 	482 	-249 
A,EXPCRED_OSUP,MEUR_KP21,EL	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 
A,EXPCRED_OSUP,MEUR_KP21,ES	-22 	-815 	-194 	-128 	-204 	-427 	-253 	-91 	-86 	-55 	-257 	-11 	-54 	-197 	: 	: 	-219 	-41 	: 	: 	24 	30 	: 
A,EXPCRED_OSUP,MEUR_KP21,EU27_2020	6153 	3297 	257 	-4590 	2468 	4490 	931 	3364 	3358 	2782 	9274 	8731 	4750 	6161 	145 	2051 	2944 	-619 	2749 	-3517 	134 	-1912 	403 
A,EXPCRED_OSUP,MEUR_KP21,FI	1028 	544 	69 	-354 	104 	-172 	15 	70 	: 	70 	: 	941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,EXPCRED_OSUP,MEUR_KP21,FR	: 	412 	-1981 	-3680 	-23 	-896 	-2732 	-2474 	-1024 	-395 	6221 	-777 	-1048 	-98 	-2 	-26 	: 	: 	: 	-3 	: 	: 	: 
