freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S13,GD,AT	141245.5 	147154.2 	151295.9 	152688.1 	157985.4 	174403.5 	180270.0 	184674.5 	201809.9 	230014.6 	244696.8 	255683.8 	261040.8 	263229.5 	280001.0 	292264.6 	296244.5 	289951.3 	285421.8 	280540.4 	315938.7 	334284.0 	350692.8 	371142.6 
A,MIO_EUR,S13,GD,BE	280959.5 	286055.5 	288110.8 	285866.7 	288418.8 	294975.3 	297494.9 	300063.7 	327683.2 	347223.7 	364132.1 	389106.6 	404752.3 	414432.4 	431386.0 	438519.4 	451640.7 	454066.2 	459410.8 	467272.6 	515219.0 	548377.7 	577943.4 	614932.7 
A,MIO_EUR,S13,GD,BG	10177.1 	10269.8 	8890.3 	8126.5 	7526.2 	6388.6 	5721.0 	5296.9 	4848.1 	5112.5 	5857.0 	6285.0 	7005.7 	7147.6 	11619.3 	11871.6 	14188.1 	13182.6 	12427.2 	12311.1 	15131.7 	17013.2 	19353.1 	21670.2 
A,MIO_EUR,S13,GD,CY	6024.5 	6660.9 	7339.8 	8184.8 	9055.9 	9595.9 	9597.7 	9461.9 	8658.6 	10139.0 	10953.7 	13057.9 	15618.5 	18706.5 	19013.8 	19296.8 	19631.5 	18935.6 	21344.2 	21566.5 	25384.3 	24740.7 	23775.8 	23036.4 
A,MIO_EUR,S13,GD,CZ	11567.8 	18322.2 	22013.9 	24530.7 	28673.0 	31385.6 	35405.0 	39606.2 	42298.6 	49824.4 	59059.8 	62576.1 	71778.7 	67096.2 	65581.0 	67943.9 	64939.8 	68520.7 	67431.3 	68492.7 	81922.9 	103255.7 	124299.8 	130576.3 
A,MIO_EUR,S13,GD,DE	1251530.5 	1264266.9 	1317679.6 	1405194.6 	1475183.2 	1545669.5 	1595311.5 	1603669.1 	1672576.3 	1789213.3 	2102672.3 	2139149.2 	2216704.5 	2201917.7 	2203742.6 	2177230.8 	2161550.5 	2130324.1 	2083675.3 	2069889.2 	2340848.9 	2495538.2 	2561674.2 	2622668.8 
A,MIO_EUR,S13,GD,DK	93084.0 	89464.7 	93174.5 	89061.4 	89394.7 	79532.5 	71183.3 	63755.0 	80547.5 	92986.6 	103472.9 	114452.4 	114025.7 	113943.4 	117801.4 	108532.4 	105450.1 	105727.0 	102597.3 	104187.6 	131859.7 	123539.1 	113586.0 	109517.2 
A,MIO_EUR,S13,GD,EA19	4867689.4 	5022111.4 	5187574.7 	5440266.0 	5697868.8 	5961271.6 	6101586.7 	6216334.6 	6728382.8 	7468033.3 	8195398.2 	8609026.8 	8980604.4 	9272038.6 	9509258.2 	9641151.7 	9786683.4 	9898548.5 	10000728.7 	10094745.1 	11152219.8 	11775290.6 	12221818.2 	12684256.1 
A,MIO_EUR,S13,GD,EA20	4876130.5 	5031772.7 	5197972.2 	5451888.3 	5711079.5 	5976396.2 	6117121.4 	6232822.9 	6746942.1 	7490130.2 	8221188.5 	8637545.5 	9011351.4 	9307424.6 	9545998.3 	9678683.2 	9824256.2 	9936911.4 	10039390.4 	10134158.1 	11195998.1 	11821031.8 	12268150.0 	12732445.2 
A,MIO_EUR,S13,GD,EE	315.6 	333.4 	442.9 	489.7 	499.9 	533.1 	628.1 	617.5 	749.4 	1023.1 	981.9 	1027.4 	1762.5 	1934.2 	2129.9 	2077.4 	2174.1 	2174.0 	2127.4 	2373.4 	5094.4 	5533.5 	6657.4 	7374.6 
A,MIO_EUR,S13,GD,EL	148217.0 	162971.0 	171410.0 	181510.0 	199282.0 	213976.0 	225730.0 	239915.0 	264775.0 	301062.0 	330570.0 	356235.0 	305085.0 	320498.0 	319629.0 	311729.0 	315012.0 	317481.0 	334721.0 	331144.0 	341588.0 	353910.0 	356796.0 	356695.0 
A,MIO_EUR,S13,GD,ES	374557.0 	378883.0 	384145.0 	382775.0 	389888.0 	393479.0 	392132.0 	384662.0 	440621.0 	569535.0 	649153.0 	743043.0 	927813.0 	1025655.0 	1084846.0 	1113661.0 	1145050.0 	1183412.0 	1208861.0 	1223355.0 	1345786.0 	1428133.0 	1502799.0 	1573754.0 
A,MIO_EUR,S13,GD,EU27_2020	5234526.3 	5416569.6 	5599430.1 	5856868.3 	6154025.3 	6431773.2 	6586810.4 	6705927.0 	7226862.8 	8041019.9 	8852061.6 	9285160.8 	9710986.3 	10024591.4 	10273712.9 	10428524.3 	10582224.2 	10715771.5 	10813068.0 	10909040.9 	12127759.9 	12799268.0 	13282868.3 	13862584.2 
A,MIO_EUR,S13,GD,FI	61564.0 	62825.0 	63299.0 	68508.0 	71335.0 	69397.0 	69532.0 	67340.0 	67435.0 	80200.0 	94286.0 	102829.0 	115931.0 	123726.0 	133359.1 	144443.0 	147963.0 	149457.0 	151384.0 	155613.0 	177906.0 	181944.0 	196781.0 	210525.0 
A,MIO_EUR,S13,GD,FR	880004.8 	907672.6 	966822.5 	1060406.4 	1134346.9 	1201470.7 	1207312.7 	1268858.7 	1389401.6 	1627182.2 	1722172.2 	1830136.3 	1915835.2 	2004703.8 	2070579.3 	2134070.5 	2190007.0 	2262442.7 	2319775.1 	2386133.2 	2662105.3 	2826726.0 	2953624.0 	3101443.0 
A,MIO_EUR,S13,GD,HR	8441.0 	9661.3 	10397.5 	11622.3 	13210.7 	15124.7 	15534.8 	16488.4 	18559.3 	22096.9 	25790.4 	28518.7 	30747.0 	35386.3 	36741.7 	37534.5 	37575.8 	38365.9 	38664.6 	39415.7 	43780.8 	45743.6 	46334.0 	48191.3 
A,MIO_EUR,S13,GD,HU	28008.4 	32818.1 	41007.4 	42348.3 	50505.1 	54075.6 	62298.8 	66503.3 	73317.3 	76528.1 	79114.5 	72881.6 	77530.7 	78882.3 	79575.8 	83833.8 	87470.1 	91265.8 	93372.4 	94233.8 	105507.0 	114672.5 	121839.7 	144029.3 
A,MIO_EUR,S13,GD,IE	39494.0 	40969.2 	41987.4 	43409.3 	43888.9 	44371.3 	43723.8 	47183.1 	79621.0 	104685.4 	144229.6 	189726.7 	210026.1 	215241.6 	203381.6 	201673.9 	200635.0 	201262.0 	205847.5 	203382.8 	217884.9 	236127.3 	224747.8 	220672.5 
A,MIO_EUR,S13,GD,IT	1353569.3 	1420026.6 	1436141.8 	1471325.7 	1526400.5 	1591580.6 	1657334.2 	1677659.5 	1738696.7 	1839325.1 	1920774.6 	1973679.9 	2054987.0 	2136488.5 	2203250.6 	2239679.0 	2285988.8 	2330227.0 	2381980.7 	2410940.1 	2574153.3 	2680557.7 	2758224.7 	2863438.0 
A,MIO_EUR,S13,GD,LT	2912.1 	3185.2 	3365.7 	3395.1 	3404.5 	3701.9 	4151.9 	4609.7 	4762.1 	7528.5 	10150.9 	11629.3 	13264.1 	13550.8 	14827.6 	15880.8 	15446.7 	16540.3 	15321.7 	17526.1 	23062.5 	24535.5 	25672.4 	27557.9 
A,MIO_EUR,S13,GD,LU	1722.6 	1820.4 	1862.8 	1949.9 	2207.2 	2407.4 	2804.1 	3045.9 	5852.4 	5969.0 	8094.5 	8201.2 	9700.3 	10997.5 	11316.6 	11432.2 	11010.3 	12675.5 	12567.6 	13960.9 	15875.8 	17731.2 	19175.6 	20358.5 
A,MIO_EUR,S13,GD,LV	1011.0 	1304.4 	1251.5 	1410.2 	1628.6 	1638.8 	1736.5 	1935.1 	4511.3 	6957.0 	8537.7 	8948.5 	9364.1 	9172.0 	9817.9 	9089.1 	10224.1 	10492.6 	10784.0 	11209.1 	12869.4 	14809.0 	16038.7 	17581.4 
A,MIO_EUR,S13,GD,MT	2654.0 	2989.2 	2927.3 	3267.4 	3449.6 	3606.4 	3472.9 	3584.6 	3837.0 	4152.7 	4462.5 	4848.3 	4907.4 	5278.4 	5433.3 	5623.1 	5769.7 	5705.4 	5662.1 	5720.3 	6974.0 	8263.3 	8999.7 	9767.8 
A,MIO_EUR,S13,GD,NL	235879.0 	238681.0 	244916.0 	256483.0 	266332.0 	274277.0 	264157.0 	266221.0 	354036.0 	354763.0 	378762.0 	401303.0 	432462.0 	447082.0 	455886.0 	446144.0 	438532.0 	420440.0 	405899.0 	394825.0 	435475.0 	449659.0 	480548.0 	480671.0 
A,MIO_EUR,S13,GD,PL	70735.4 	83306.4 	84224.1 	83894.0 	103059.1 	119592.0 	131958.8 	147052.7 	144651.7 	166538.0 	194894.8 	192144.5 	216868.9 	224119.6 	204509.3 	216566.3 	229014.4 	241130.0 	240804.6 	245729.4 	293229.6 	306937.5 	323186.9 	389710.3 
A,MIO_EUR,S13,GD,PT	69591.8 	77908.0 	85594.9 	93333.4 	102157.9 	114552.9 	122499.7 	127625.5 	135477.9 	154014.0 	179996.0 	201459.4 	217160.3 	224077.6 	230058.8 	235746.1 	245244.8 	247174.5 	249260.5 	249977.5 	270494.9 	269089.0 	272427.2 	263084.8 
A,MIO_EUR,S13,GD,RO	7532.8 	10917.2 	10757.1 	10309.5 	11768.7 	12397.6 	12585.6 	14099.4 	16549.4 	27288.4 	36724.9 	43934.0 	49443.5 	53374.9 	58398.2 	59396.8 	62692.1 	64462.9 	70738.2 	77964.2 	102411.8 	116455.6 	134456.2 	157474.9 
A,MIO_EUR,S13,GD,SE	137290.4 	139698.4 	141390.6 	146709.7 	152019.2 	152005.1 	150536.4 	136790.5 	117708.1 	132747.7 	151873.4 	155456.0 	163584.7 	173692.4 	191307.6 	202759.8 	195264.7 	194607.1 	186321.6 	171978.5 	201713.2 	196376.1 	178009.8 	177172.9 
A,MIO_EUR,S13,GD,SI	5483.6 	6035.5 	6707.8 	6943.8 	7427.5 	7690.1 	8201.5 	8013.6 	8262.5 	12517.5 	13916.2 	17216.6 	19417.7 	25520.1 	30219.9 	32087.4 	31756.0 	31893.0 	32246.3 	31752.4 	37424.3 	38878.5 	41338.6 	43670.3 
A,MIO_EUR,S13,GD,SK	10953.5 	12369.5 	12274.1 	13125.0 	14977.1 	13945.3 	15496.2 	17194.1 	19616.1 	23305.7 	27928.8 	30979.9 	38098.1 	40742.0 	40844.0 	41413.4 	42481.3 	43572.4 	44405.3 	45305.6 	54993.2 	61238.2 	63378.6 	68830.4 
A,PC_GDP,S13,GD,AT	66.1 	66.7 	66.7 	65.9 	65.2 	68.6 	67.3 	65.0 	68.7 	79.9 	82.7 	82.4 	81.9 	81.3 	84.0 	84.9 	82.8 	78.5 	74.1 	70.6 	82.9 	82.5 	78.4 	77.8 
A,PC_GDP,S13,GD,BE	109.6 	108.2 	105.4 	101.7 	97.2 	95.1 	91.5 	87.3 	93.2 	100.2 	100.3 	103.5 	104.8 	105.5 	107.0 	105.2 	105.0 	102.0 	99.9 	97.6 	111.9 	107.9 	104.3 	105.2 
A,PC_GDP,S13,GD,BG	70.7 	64.5 	51.0 	43.4 	35.7 	26.6 	20.9 	16.3 	13.0 	13.7 	15.3 	15.2 	16.6 	17.0 	27.0 	25.9 	29.1 	25.1 	22.1 	20.0 	24.6 	23.9 	22.6 	23.1 
A,PC_GDP,S13,GD,CY	55.7 	57.3 	60.5 	63.8 	64.8 	63.4 	59.3 	54.0 	45.5 	54.3 	56.3 	65.8 	80.1 	103.7 	108.8 	107.5 	103.2 	93.2 	98.5 	93.0 	114.9 	99.3 	85.6 	77.3 
A,PC_GDP,S13,GD,CZ	17.0 	22.7 	25.8 	28.2 	28.4 	27.7 	27.6 	27.3 	28.1 	33.4 	37.1 	39.7 	44.2 	44.4 	41.9 	39.7 	36.6 	34.2 	32.1 	30.0 	37.7 	42.0 	44.2 	44.0 
A,PC_GDP,S13,GD,DE	59.3 	58.2 	59.9 	63.5 	65.2 	67.5 	66.9 	64.2 	65.7 	73.2 	82.0 	79.4 	80.7 	78.3 	75.3 	71.9 	69.0 	65.2 	61.9 	59.6 	68.8 	69.0 	66.1 	63.6 
A,PC_GDP,S13,GD,DK	52.4 	48.5 	49.1 	46.2 	44.2 	37.4 	31.5 	27.3 	33.3 	40.2 	42.6 	46.1 	44.9 	44.0 	44.3 	39.8 	37.2 	35.9 	34.0 	33.7 	42.3 	36.0 	29.8 	29.3 
